annotation_status,backend,bytes_shipped_p50,cardinality_candidates_p50,cardinality_predicate_matches_p50,cardinality_reached_p50,cardinality_seeds_p50,dataset,hit_at_1,hit_at_5,hops,is_default,k,latency_p50_ms,latency_p95_ms,latency_p99_ms,mrr,plan_id,predicate_placement,query_hop_limit,query_id,recall_at_20,repetitions,round_trips_p50,serialization_fraction_p50,shape,stage_ann_ms_p50,stage_filter_ms_p50,stage_merge_ms_p50,stage_traverse_ms_p50,template,valid_for_system_latency_claims
generated_exact_oracle,tridb_live,0.0,4.0,31.0,,10.0,openevolve,0.0,1.0,5,False,10,0.544455,0.5510664,0.5516540799999999,0.5,filter_first-dac925d86324,pre,2,oe-000,1.0,3,0.0,0.0,filter_first,0.103,0.0,0.424801,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,4.0,31.0,,20.0,openevolve,0.0,1.0,5,False,20,0.79441,0.8083852,0.8096274400000001,0.5,filter_first-dc7fbfdd08ef,pre,2,oe-000,1.0,3,0.0,0.0,filter_first,0.106,0.0,0.67341,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,1,False,1,0.721502,0.8203148,0.82909816,0.0,filter_first-ef43b60e2e3b,pre,2,oe-000,0.0,3,0.0,0.0,filter_first,0.16,0.0,0.496502,0.021,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,31,0.538325,0.5463764,0.54709208,0.5,traverse_first-025d91062f7e,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.01,0.083,0.42332500000000006,0.021,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,20,0.566216,0.5702921,0.57065442,0.5,traverse_first-08ab08ac3fd6,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.011,0.092,0.44021600000000005,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,20,0.55603,0.5751433,0.5768422599999999,1.0,traverse_first-0ce2265627bb,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.014,0.067,0.457117,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,1,0.467927,0.4837121,0.48511522,1.0,traverse_first-0e65f761853b,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.003,0.025,0.426927,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,2,False,1,0.48617,0.4974911,0.49849742,1.0,traverse_first-1401f30333f9,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.006,0.042,0.42117,0.016,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,31,0.476408,0.4887776,0.48987712,1.0,traverse_first-15ea918cf3ed,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.003,0.022,0.436408,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,31,0.486616,0.4957879,0.49660318,1.0,traverse_first-181bab948b21,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.005,0.049,0.414616,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,5,0.554926,0.8632947999999999,0.89070536,1.0,traverse_first-2ef9d31e2115,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.002,0.02,0.518926,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,31,0.470124,0.4891311,0.49082062,1.0,traverse_first-337d9b2cc0f4,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.003,0.032,0.42618300000000003,0.016,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,20,0.538093,0.5511331,0.55229222,1.0,traverse_first-488fa7065b52,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.011,0.061,0.44258200000000003,0.022,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,0.0,0.0,5,False,1,0.588227,0.5963090000000001,0.5970274000000001,0.0,traverse_first-49ace1949b9b,during,2,oe-000,0.0,3,0.0,0.0,traverse_first,0.011,0.096,0.434207,0.024,ancestor_reuse,True
